Participant_Num,Stimulus,Predicted_Mean,Observed_Mean
29,S4,7.509134863188292,8.083333333333334
29,S5,6.303385112017295,7.0
29,S6,5.026816502880334,6.666666666666667
29,S7,3.683896229914337,3.5833333333333335
29,S8,2.565142326632148,1.8333333333333333
29,S9,1.7423787897957117,1.25
29,CS-,1.2203332414999382,1.375
30,CS+,8.982384019997415,9.777777777777779
30,S2,8.51109453374505,9.25
30,S3,8.035416640814814,9.166666666666666
30,S4,7.334307233989411,5.416666666666667
30,S5,6.347678630317647,5.25
30,S6,5.370383708851526,4.0
30,S7,4.425611597328389,3.5
30,S8,3.5208019868422573,2.8333333333333335
30,S9,2.9936154293792323,2.4166666666666665
30,CS-,2.4657536088931082,1.7916666666666667
31,CS+,8.368034712018794,8.0
31,S2,3.4858976105941357,3.25
31,S3,2.2505101529985017,2.1666666666666665
31,S4,1.9063700323122894,1.5
31,S5,1.7923719790929498,1.3333333333333333
31,S6,1.7218832771172268,1.5454545454545454
31,S7,1.6097935040731963,1.2727272727272727
31,S8,1.4197729299459934,1.3333333333333333
31,S9,1.1430412378210157,1.3333333333333333
31,CS-,1.0082321579347593,1.1666666666666667
32,CS+,5.804237854967158,6.277777777777778
32,S2,5.462930889594078,7.25
32,S3,4.854610050498267,5.0
32,S4,4.361120973539429,5.25
32,S5,3.8558713664576314,3.25
32,S6,3.4396338785275886,2.9166666666666665
32,S7,3.0134487192666755,3.0833333333333335
32,S8,2.5874161235912343,2.25
32,S9,2.279212768239196,1.75
32,CS-,2.030282081818673,1.4583333333333333
33,CS+,8.024599391156835,7.388888888888889
33,S2,3.395595543972876,3.75
33,S3,2.007203884819077,1.1666666666666667
33,S4,1.6861285149015044,1.25
33,S5,1.5732715020184536,1.5833333333333333
33,S6,1.4913936292920056,1.1666666666666667
33,S7,1.3955527701700938,1.0
33,S8,1.2457663231542548,1.0
33,S9,1.0757530888686804,1.0
33,CS-,1.004322667387697,1.0
34,CS+,9.150355581087044,9.13888888888889
34,S2,8.460451255143507,9.0
34,S3,7.6749104358145654,8.333333333333334
34,S4,6.565579241264378,6.083333333333333
34,S5,5.515895059823816,4.833333333333333
34,S6,4.429418858314613,4.25
34,S7,3.36726485945351,3.1666666666666665
34,S8,2.4755598366965677,2.3333333333333335
34,S9,1.846299180285901,2.25
34,CS-,1.3988167914238716,2.0
35,CS+,7.780168338824092,8.314285714285715
35,S2,6.976901046480745,7.0
35,S3,6.383443838106349,6.666666666666667
35,S4,6.076683833500018,5.583333333333333
35,S5,5.813934687012279,5.916666666666667
35,S6,5.581922076274377,5.166666666666667
35,S7,5.296024725256162,5.333333333333333
35,S8,4.904051909904485,5.083333333333333
35,S9,4.236619406575315,3.9166666666666665
35,CS-,3.1917682317277873,4.083333333333333
36,CS+,7.939904782508497,7.666666666666667
36,S2,4.3703625499104035,4.833333333333333
36,S3,2.896793041472624,2.5
36,S4,2.2919218539546447,1.9166666666666667
36,S5,2.0046363361201074,1.25
36,S6,1.8019582000080463,1.75
36,S7,1.5960189420360036,1.2727272727272727
36,S8,1.3518141522872897,1.0
36,S9,1.1240981186885433,1.0
36,CS-,1.0145819455229637,1.0
37,CS+,7.331975696159412,6.75
37,S2,6.9473015217897505,5.166666666666667
37,S3,6.740651238093485,5.083333333333333
37,S4,6.304680714873622,4.916666666666667
37,S5,5.885839531409997,5.833333333333333
37,S6,5.4847409320139136,3.4166666666666665
37,S7,5.18225729935496,4.166666666666667
37,S8,4.740553358267986,3.8333333333333335
37,S9,4.315618397673837,4.166666666666667
37,CS-,4.006722988161878,3.2083333333333335
38,CS+,5.72186174944633,5.638888888888889
38,S2,5.684724380482578,5.818181818181818
38,S3,5.6314460831092426,5.416666666666667
38,S4,5.608223649019262,5.583333333333333
38,S5,5.62956864401122,5.833333333333333
38,S6,5.524315451921464,5.75
38,S7,5.473357674298657,5.545454545454546
38,S8,5.4428934555175195,5.083333333333333
38,S9,5.4845673409273745,5.75
38,CS-,5.329272337296481,4.958333333333333
39,CS+,2.5754877768145055,8.166666666666666
39,S2,2.373774888866022,4.583333333333333
39,S3,2.034070666093995,1.75
39,S4,1.7583546188945767,1.0
39,S5,1.525746599453528,1.0
39,S6,1.3468371731926116,1.0
39,S7,1.2523142297174756,1.0
39,S8,1.1892369365001403,1.0
39,S9,1.1492462802361243,1.0
39,CS-,1.1256310291254923,1.0
40,CS+,5.230484079689336,5.083333333333333
40,S2,5.006764757270936,4.333333333333333
40,S3,4.634013048692362,4.25
40,S4,4.436435667921246,4.25
40,S5,4.193258318172172,4.166666666666667
40,S6,3.867007705988825,3.6666666666666665
40,S7,3.6112249924176987,3.0
40,S8,3.2295184820458314,2.75
40,S9,3.123244828141412,2.5833333333333335
40,CS-,2.8638626275443677,2.4782608695652173
